,User_Name,User_img,User_url,Challange_Name,Programming_Lang,Sol_Code,User_Score,User's_Comments,User_Gender,Comments,Conditions,For,While,do ... while,Func dec,Varibales Dec,Pointers,Comments length,code length,Variables Names
402,alexmi,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/alexmi.jpg,/profile/alexmi,Tree Constructor,Csharp,"using System;
using System.Linq;
using System.Text.RegularExpressions;
using System.Collections.Generic;

class MainClass {

  public static string TreeConstructor(string[] strArr) {
      var nodes = strArr.Select (Parse).ToArray ();

      if (!ParentEligible(nodes))
          return ""false"";

      if (!ChildrenEligible (nodes))
          return ""false"";

      return ""true"";

  }

  private static string[] Parse (string str) {
      var numbers = str.Split (new [] { "","" }, StringSplitOptions.RemoveEmptyEntries);

      return new [] {Regex.Replace (numbers[0], ""[^0-9_.]+"", """", RegexOptions.Compiled),
          Regex.Replace (numbers[1], ""[^0-9_.]+"", """", RegexOptions.Compiled) };
  }

  private static bool ChildrenEligible (string[][] nodes) {
      foreach (var item in nodes) {
          var childrenCount = 0;
          foreach (var oit in nodes) {
              if (item[1] == oit[1]) {
                  childrenCount++;
              }
          }
          if (childrenCount > 2) {
              return false;
          }
      }

      return true;
  }

  private static bool ParentEligible (string[][] nodes) {

      var topItems = new List<string>();
      foreach (var item in nodes) {
          var parentFound = false;
          foreach (var oit in nodes) {
              if (item[1] == oit[0]) {
                  parentFound = true;
              }
          }

          if (!parentFound) {
              topItems.Add(item[1]);
          }
      }

      return topItems.Distinct().Count() == 1;
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Male,1,6,4,0,0,7,0,0,1,171,
403,manishbasantani,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/manishbasantani.jpg,/profile/manishbasantani,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.ComponentModel;
using System.Diagnostics;
using System.Linq;


class MainClass {

 
		public static string TreeConstructor(string[] strArr)
		{
			var parents = new Dictionary<string,int>();
			var children = new HashSet<string>();
			var isValidBinaryTree = true;

			try
			{

				foreach (var pair in strArr)
				{
					var pairItem = pair.Trim('(').Trim(')');
					var childAndParent = pairItem.Split(',');
					var childItem = childAndParent[0];
					var parentItem = childAndParent[1];
					if (parents.ContainsKey(parentItem))
					{
						parents[parentItem]++;
					}
					else
					{
						parents[parentItem] = 1;
					}
				}
			}
			catch (Exception ex)
			{
				isValidBinaryTree = false;
			}
			isValidBinaryTree = !parents.Values.Any(item => item > 2);
			// code goes here  
			return isValidBinaryTree ? ""true"" : ""false"";

		}


  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Male,2,3,1,0,0,1,0,0,0,109,
404,SylithVantus,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/SylithVantus.jpg,/profile/SylithVantus,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;

class MainClass {

  public static string TreeConstructor(string[] strArr) 
  {
    var childCounts = new Dictionary<string, int>();
    foreach(string pair in strArr)
    {
      string[] split = pair.Split(',');
      string parent = split[1];

      if(!childCounts.ContainsKey(parent))
      {
        childCounts[parent] = 0;
      }
      childCounts[parent] = childCounts[parent] + 1;
      if(childCounts[parent] > 2)
      {
        return ""false"";
      }
    }
    return ""true"";

  }

  static void Main() 
  {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Female,1,4,1,0,0,2,1,0,1,66,'childCounts''childCounts''childCounts''childCounts''childCounts''childCounts''childCounts''childCounts''childCounts'
405,joepinder,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/joepinder.jpg,/profile/joepinder,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;

class MainClass {

  public static string TreeConstructor(string[] strArr) {

    // code goes here  

    

            Dictionary<string, string> parents = new Dictionary<string, string>();
            Dictionary<string, List<string>> children = new Dictionary<string, List<string>>();


           foreach (var value in strArr)
            {
                var temp = value.Replace(""("", """").Replace( "")"", """").Split(',');
                var temp2 = new Tuple<string, string>(temp[0], temp[1]);
                //values.Add(new Tuple<string, string>(temp[0], temp[1]));

                if (!parents.ContainsKey(temp2.Item1))
                {
                    parents.Add(temp2.Item1, temp2.Item2);
                }
                else
                {
                    return ""false"";
                }

                if (!children.ContainsKey(temp2.Item2))
                {
                    children.Add(temp2.Item2, new List<string>() {temp2.Item1});
                }
                else
                {
                    if (children[temp2.Item2].Count < 2)
                    {
                        children[temp2.Item2].Add(temp2.Item1);
                    }
                    else
                    {
                        return ""false"";
                    }
                }
            }
            return ""true"";
        }

    //return strArr[0];

  



  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Male,4,9,1,0,0,3,0,0,0,108,
406,AliLozzi,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/AliLozzi.jpg,/profile/AliLozzi,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Linq;

class MainClass {

  public static string TreeConstructor(string[] strArr) 
  {
    var parentsCount = new Dictionary<uint, uint>();

            var children = new HashSet<uint>();

            return strArr.ToList().Any(s =>
            {
                var pair = s.Trim('(', ')').Split(',');

                var parent = uint.Parse(pair[1]);

                var child = uint.Parse(pair[0]);

                if (!parentsCount.ContainsKey(parent))
                {
                    parentsCount.Add(parent, 1);
                }
                else if (parentsCount[parent] > 1)
                {
                    return true;
                }
                else
                {
                    parentsCount[parent]++;
                }

                if (!children.Contains(child))
                {
                    children.Add(child);
                }
                else
                {
                    return true;
                }

                return false;
            }) ? ""false"" : ""true"";
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Male,1,9,0,0,0,4,0,0,0,93,
407,BeshoyYoussef,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/BeshoyYoussef.jpg,/profile/BeshoyYoussef,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Linq;
class MainClass {

  public static string TreeConstructor(string[] strArr) {

    // code goes here  
    string _result = ""true"";
          
         List<string> _strCheck = new List<string>();
            foreach (var item in strArr)
            {
                string _strRemove1 = item.Remove(0,1);
             string[] _strArry1 = _strRemove1.Remove(_strRemove1.Length - 1,1).Split(','); //Split(',');
                _strCheck.Add(_strArry1[1]);
                var q = (from x in _strCheck
                        group x by x into g
                        let count = g.Count()
                        orderby count descending
                        select new { Value = g.Key, Count = count }).FirstOrDefault();
                if (q.Count > 2)
                {
                    _result = ""false"";
                }
            }
            return _result;


  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Female,3,1,1,0,0,1,0,0,0,102,
408,brrrr,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/brrrr.jpg,/profile/brrrr,Tree Constructor,Csharp,"using System;
using System.Linq;
using System.Collections.Generic;

class MainClass {
  public class Node{
    public Node left,right;
    public int Key;
    public Node(int key)
    {
      Key=key;
    }
  }

  public static string TreeConstructor(string[] strArr) {

    // code goes here  
    List<Node> nodes = new List<Node>();
    foreach(string branch in strArr)
    {
      string[] keyvaluepair = branch.Split(new char[]{',','(',')'},StringSplitOptions.RemoveEmptyEntries);
      Int32.TryParse(keyvaluepair[0].Trim(), out int child);
      Int32.TryParse(keyvaluepair[1].Trim(), out int parent);
      
        Node newNode = new Node(child);
      if(!nodes.Any(x=>x.Key == parent))
      {
        nodes.Add(new Node(parent){left = newNode});
        continue;
      }
      Node n = nodes.First(x=>x.Key == parent);
      if(n.right != null)
        return ""false"";
      if(n.left.Key > child)
        {
            n.right = n.left;
            n.left = newNode;
        }
        else
          n.right = newNode;
    }
    return ""true"";

  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Female,2,8,1,0,0,2,1,0,0,116,'keyvaluepair''keyvaluepair''keyvaluepair''keyvaluepair''keyvaluepair''keyvaluepair''keyvaluepair''keyvaluepair''keyvaluepair'
409,drewhaller,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/drewhaller.jpg,/profile/drewhaller,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;

class MainClass {

	public static string TreeConstructor(string[] strArr)
	{

		Dictionary<string, Node> NodeList = new Dictionary<string, Node>();
		for (int i = 0; i < strArr.Length; i++)
		{
			var elem = strArr[i];
			var pair = elem.Replace(""("", """").Replace("")"", """");
			if (!pair.Contains("","")) return ""false"";
			var vals = pair.Split(',');

			var c = vals[0];
			var p = vals[1];
			Node cNode = null;
			Node pNode = null;
			if (!NodeList.ContainsKey(c))
			{
				cNode = new Node();
				NodeList.Add(c,cNode);
				cNode.Value = c;
			}
			else
			{
				cNode = NodeList[c];
			}

			if (!NodeList.ContainsKey(p))
			{
				pNode = new Node();
				NodeList.Add(p, pNode);
				pNode.Value = p;
			}
			else
			{
				pNode = NodeList[p];
			}

			if (pNode.Left == null)
			{
				pNode.Left = cNode;
			}
			else if (pNode.Right == null)
			{
				pNode.Right = cNode;
			}
			else
			{
				return ""false"";
			}

		}
			return ""true"";

	}


  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 
  
  class Node {
    public string Value;
    public Node Left;
    public Node Right;
 }

}",9,0,Male,1,13,1,0,0,3,0,0,1,154,
410,verorc,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/verorc.jpg,/profile/verorc,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Linq;

class MainClass {

  public static string TreeConstructor(string[] strArr) {
    var parents = new Dictionary<int, int>();
    var childs = new Dictionary<int, int>();
    foreach(var item in strArr)
    {
      var it = item.Replace(""("","""").Replace("")"","""").Split("","");      
      int parent = Int32.Parse(it[1]);
      int child = Int32.Parse(it[0]);
      if(parents.ContainsKey(parent)){
        parents[parent] += 1;
        if(parents[parent] > 2)
        return ""false"";
      }
      else
      {
        parents.Add(parent, 1);
      }

      if(childs.ContainsKey(child))
      {
        return ""false"";
      }
      else
      {
        childs.Add(child,1);
      }
    }
    return ""true"";
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Male,1,10,1,0,0,3,4,0,0,85,'parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child''parents''childs''parent''child'
411,sreecoderbyte,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/sreecoderbyte.jpg,/profile/sreecoderbyte,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Text.RegularExpressions;

class MainClass {

  public static string TreeConstructor(string[] strArr) {

    var childDict = new Dictionary<string, int>();
    var parentDict = new Dictionary<string, int>();

    foreach(string s in strArr){
      string[] str = Regex.Replace(s, @""[^\d,]"", string.Empty).Split(','); 
      string childNode = str[0];
      string parentNode = str[1];

      if(childDict.ContainsKey(childNode)){
        childDict[childNode]++;
        if (childDict[childNode] > 1)
          return ""false"";
      }
      else
        childDict.Add(childNode, 1);
      
      if(parentDict.ContainsKey(parentNode)){
        parentDict[parentNode]++;
        if (parentDict[parentNode] > 2)
          return ""false"";
      }
      else
        parentDict.Add(parentNode, 1);
    } 

    return ""true"";

  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Female,1,10,1,0,0,3,2,0,0,86,'childDict''parentDict''childDict''parentDict''childDict''parentDict''childDict''parentDict''childDict''parentDict''childDict''parentDict''childDict''parentDict''childDict''parentDict''childDict''parentDict'
412,YuRayne,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/YuRayne.jpg,/profile/YuRayne,Tree Constructor,Csharp,"using System;

class MainClass {

  public static string TreeConstructor(string[] strArr) {

    // code goes here  
    for (int i = 0; i < strArr.Length; i++)
    {
      string[] currentPair = strArr[i].Split(new char[] { '(', ',', ')' }, StringSplitOptions.RemoveEmptyEntries);
      int childCount = 1;

      for (int j = i + 1; j < strArr.Length; j++)
      {
        string[] pair = strArr[j].Split(new char[] { '(', ',', ')' }, StringSplitOptions.RemoveEmptyEntries);

        if (int.Parse(currentPair[0]) == int.Parse(pair[0]))    // if a child has only one parent
          return ""false"";

        if (int.Parse(currentPair[1]) == int.Parse(pair[1]))    // if a parent has not more than 2 children
        {
          childCount++;
          if (childCount > 2)
            return ""false"";
        }
      }
    }

    return ""true"";
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Female,4,5,2,0,0,3,3,0,1,117,'currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair''currentPair''childCount''pair'
413,kshannon7,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/kshannon7.jpg,/profile/kshannon7,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Text.RegularExpressions;



class MainClass {

  public static string TreeConstructor(string[] strArr) {
    /*
      1. Parents must have at most 2 children. parents = {parents[child1, child2]};
      2. Children must have at most parent. children = {child, parent};
      3. Iterate through strArr to see if conditions remain true; 
    */
    var pDict = new Dictionary<string,int>();
    var cDict = new Dictionary<string,int>();

    foreach(string s in strArr)
    {
      var holder = Regex.Replace(s, @""[^\d,]"", string.Empty).Split(','); 
      var childNode = holder[0];
      var parentNode = holder[1];

      if(pDict.ContainsKey(parentNode))
      {
          pDict[parentNode]++;
          if(pDict[parentNode] > 2)
          {return ""false"";}
      }
      else
      {
          pDict.Add(parentNode, 1);
      }

      if(cDict.ContainsKey(childNode))
      {
          cDict[childNode]++;
          if(cDict[childNode] > 1)
          {return ""false"";}
      }
      else
      {
          cDict.Add(childNode, 1);
      }
    }

    return ""true"";

  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Female,2,13,1,0,0,1,0,0,0,124,
414,rainerlg90,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/rainerlg90.jpg,/profile/rainerlg90,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Text.RegularExpressions;

class MainClass {

  public static string TreeConstructor(string[] strArr) {

    var cDict = new Dictionary<string, int>();
    var pDict = new Dictionary<string, int>();

    foreach(string s in strArr){
      string[] str = Regex.Replace(s, @""[^\d,]"", string.Empty).Split(','); 
      string cNode = str[0];
      string pNode = str[1];

      if(cDict.ContainsKey(cNode)){
        cDict[cNode]++;
        if (cDict[cNode] > 1)
          return ""false"";
      }
      else
        cDict.Add(cNode, 1);
      
      if(pDict.ContainsKey(pNode)){
        pDict[pNode]++;
        if (pDict[pNode] > 2)
          return ""false"";
      }
      else
        pDict.Add(pNode, 1);
    } 

    return ""true"";

  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Male,1,10,1,0,0,3,2,0,0,86,'cDict''pDict''cDict''pDict''cDict''pDict''cDict''pDict''cDict''pDict''cDict''pDict''cDict''pDict''cDict''pDict''cDict''pDict'
415,AlexanderMeier,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/AlexanderMeier.jpg,/profile/AlexanderMeier,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
using System.Linq;

class MainClass {

  public static string TreeConstructor(string[] strArr) {
    Dictionary<int,Node> nodes = new Dictionary<int,Node>();
    foreach(string str in strArr)
    {
      int[] parts = str.Substring(1, str.Length-2).Split(',').Select(int.Parse).ToArray();
      if(!nodes.TryGetValue(parts[1], out Node cParentNode))
      {
         cParentNode = new Node();
         nodes[parts[1]] = cParentNode;
      }
      cParentNode.ChildCount++;
      if(!nodes.TryGetValue(parts[0], out Node cChildNode))
      {
        cChildNode = new Node();
        nodes[parts[0]] = cChildNode;
      }
      else if (cChildNode.Parent != null && cChildNode.Parent != cParentNode)
      {
        return ""false"";
      }
      cChildNode.Parent = cParentNode;
    }
    int iRootCount=0;
    foreach (var cNode in nodes.Values)
    {
      if(cNode.ChildCount>2) return ""false"";
      if(cNode.Parent == null) iRootCount++;
    }
    if(iRootCount == 1) return ""true"";
    return ""false"";
  }

  public class Node
  {
    public Node Parent  {get;set;}
    public int ChildCount {get;set;}
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Male,1,13,2,0,0,4,1,0,0,124,'parts''parts''parts''parts''parts''parts''parts''parts''parts'
416,kadaj,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/kadaj.jpg,/profile/kadaj,Tree Constructor,Csharp,"using System;
using System.Linq;
using System.Collections.Generic;

class MainClass {

  public static string TreeConstructor(string[] strArr) {
    var formatted = strArr
      .Select(s => s.Replace(""("", string.Empty).Replace("")"", string.Empty))
      .Select(s => s.Split(','))
      .Select(s => new {
        child = int.Parse(s[0].ToString()),
        parent = int.Parse(s[1].ToString())
      }).ToList();

    if (formatted.Select(p => p.child).Distinct().Count() != formatted.Count)
    {
      return ""false"";
    }
    
    var parents = new Dictionary<int, int>(formatted.Select(f => f.parent).Distinct().Select(f => new KeyValuePair<int, int>(f, 0)));
    
    foreach(var t in formatted)
    {
      parents[t.parent]++;
    }

    if (parents.Any(p => p.Value > 2))
    {
      return ""false"";
    }

    return ""true"";
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Female,1,2,4,0,0,3,4,0,1,93,"'child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents''child''parent''parents', 'parents'"
418,GiLb3rTh,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/GiLb3rTh.jpg,/profile/GiLb3rTh,Tree Constructor,Csharp,"using System;
using System.Linq;
using System.Collections.Generic;

class MainClass {

  public static string TreeConstructor(string[] strArr) {
    Dictionary<string, int> parentsOnly = new Dictionary<string, int>();

      for (int i = 0; i < strArr.Length; i++)
      {
          var parent = strArr[i].Split(',')[1].Substring(0, 1);

          if (!parentsOnly.ContainsKey(parent))
          {
              parentsOnly.Add(parent, 1);
          }
          else
          {
              parentsOnly[parent] += 1;
          }
      }

      return (!parentsOnly.Values.Any(x => x > 2)).ToString().ToLower();
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Male,1,3,1,0,0,1,2,0,1,69,"'parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly''parentsOnly', 'parentsOnly'"
419,IvyAjanga,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/IvyAjanga.jpg,/profile/IvyAjanga,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;
class MainClass {

  public static string TreeConstructor(string[] strArr) {

    //split the string where there is a comma and store as nodes
    //store parent as nodes[1]
    //create a hashtable and add parent
    //if parent appears more than two times
    //return false
    string result =""true"";
    Dictionary<string, int> store = new Dictionary<string, int>();
    foreach(var item in strArr)
    {
      string [] toSplit = item.Split("","");
      string parent = toSplit[1];
      if(!store.ContainsKey(parent))
      {
        store.Add(parent,1);
        store[parent]=1;
      }
      else
      {
        store[parent] += 1;
      }
      if(store[parent]>2)
      {
        result =""false"";
      }
      else
      {
        result =""true"";
      }
    }
    
    return result;

  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Female,6,8,1,0,0,1,2,0,0,106,"'store', 'store''store', 'store''store', 'store''store', 'store''store', 'store''store', 'store''store', 'store''store', 'store''store', 'store'"
420,snehalnik,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/snehalnik.jpg,/profile/snehalnik,Tree Constructor,Csharp,"using System;

using System.Collections.Generic;
using System.Linq;

class MainClass {

  public static string TreeConstructor(string[] strArr)
        {
            Dictionary<int, List<int>> tree = new Dictionary<int, List<int>>();
            for (int i = 0; i < strArr.Length; i++)
            {
                string formatted = strArr[i].Replace(""("", """").Replace("")"","""").Trim();
                string[] numbers = formatted.Split(',');
                int child = int.Parse(numbers[0].ToString());
                int parent=  int.Parse(numbers[1].ToString());

                if (!tree.Keys.Contains(parent))
                {
                    List<int> children = new List<int>();
                    children.Add(child);
                    tree.Add(parent, children);
                }
                else
                {
                    var item = tree.Where(k => k.Key == parent).First();
                    item.Value.Add(child);
                }
            }
            bool isValid = true;
            foreach(var item in tree)
            {
                if (item.Value.Count() > 2)
                {
                    isValid = false;
                    break;
                }
            }

            if (isValid == true)
            {
                int parentCount = 0;
                List<int> keys = tree.Keys.ToList();
                for (int i = 0; i < keys.Count; i++)
                {
                    var child = tree.Values.Where(v => v.Contains(keys[i])).FirstOrDefault();
                    if (child == null)
                    {
                        parentCount++;
                    }
                    if (parentCount > 1)
                        break;
                }
                if (parentCount > 1)
                    isValid = false;
                
            }

                        // code goes here  
            return isValid.ToString().ToLower();

        }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",10,0,Female,2,8,5,0,0,1,3,0,3,160,"'child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount''child', 'child''parentCount'"
424,andreisirius,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/andreisirius.jpg,/profile/andreisirius,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;

class MainClass {


  public static string TreeConstructor(string[] strArr) {
    
    
    Dictionary<int, List<int>> tree = new Dictionary<int, List<int>>();
    HashSet<int> seenChildren = new HashSet<int>();

    foreach (var pair in strArr){
      string[] tokens = pair.Split(""(,)"".ToCharArray(), StringSplitOptions.RemoveEmptyEntries);
      int child = int.Parse(tokens[0]);
      int parent = int.Parse(tokens[1]);

      if (seenChildren.Contains(child)) return ""false"";
      
      seenChildren.Add(child);

      if (tree.TryGetValue(parent, out List<int> children)){
        children.Add(child);
      } else {
        tree[parent] = new List<int>(child);
      }
    }

    foreach (var kvp in tree){

      if (kvp.Value.Count == 2) {
        int parent = kvp.Key;
        int child1 = kvp.Value[0];
        int child2 = kvp.Value[1];
        if ((child1 < parent && child2 < parent ) ||
            (child1 > parent && child2 > parent))
             return ""false"";
      } else if (kvp.Value.Count > 2) return ""false"";
    }

    return ""true"";
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}",9,0,Male,1,9,2,0,0,4,7,0,0,129,"'child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2''child', 'child''parent', 'parent''parent''child1''child2'"
426,uservh1qjnhe,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/uservh1qjnhe.jpg,/profile/uservh1qjnhe,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;

class MainClass {

  public static string TreeConstructor(string[] strArr) {

   List<Node> nodes = new List<Node>();

    foreach(string pair in strArr)
    {
      var parsed = pair.Substring(1);
      parsed = parsed.Substring(0, parsed.Length - 1);

      var numbers = parsed.Split(',');
      var number = Convert.ToInt32(numbers[0]);
      var parentNumber = Convert.ToInt32(numbers[1]);

      Node node = new Node();
      node.Number = number;
      node.ParentNumber = parentNumber;

      nodes.Add(node);
    }

    for(int i = 0; i < nodes.Count; i++)
    {
      Node node = nodes[i];

      if(node.ParentNumber != -1)
      { 
        Node parentNode = FindNode(nodes, node.ParentNumber);

        if (parentNode == null)
        {
          parentNode = new Node();
          parentNode.Number = node.ParentNumber;
          parentNode.ParentNumber = -1;

          nodes.Add(parentNode);
        }
      }
    }

    foreach (Node node in nodes)
    {
      Node parentNode = FindNode(nodes, node.ParentNumber);

      if (parentNode != null)
      {
        node.Parent = parentNode;
        parentNode.Children.Add(node);
      }
    }


    Node root = nodes[0];

    while(root.Parent != null)
    {
      root = root.Parent;
    }

    var totalCount = root.GetCount();

    if(totalCount != nodes.Count || !root.IsBinary())
    {
      return ""false"";
    }

 
    return ""true"";
  }

  private static Node FindNode( List<Node> nodes, int number)
  {
    foreach(Node node in nodes)
    {
      if(node.Number == number)
      {
        return node;
      }
    }

    return null;
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 

}

class Node
{
  public int Number { get; set; }
  public int ParentNumber { get; set; }

  public Node Parent{ get; set; }

  public List<Node> Children{get;set;}
  
  public Node()
  {
    Children = new List<Node>();
  }
  
  public int GetCount()
  {
    int count = 1;

    foreach(Node node in Children)
    {
      count += node.GetCount();
    }

    return count;
  }

  public bool IsBinary()
  {
    if (Children.Count > 2)
    {
      return false;
    }

    foreach(Node node in Children)
    {
      bool isBinaryChild = node.IsBinary();

      if(!isBinaryChild)
      {
        return false;
      }
    }

    return true;
  }
}",10,0,Male,1,11,7,2,0,8,1,0,1,271,'count''count''count''count''count''count''count''count''count'
427,user94261218,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/user94261218.jpg,/profile/user94261218,Tree Constructor,Csharp,"using System;
using System.Collections.Generic;

class MainClass {
  public static string TreeConstructor(string[] strArr) { 
    
    var childCounts = new Dictionary<string, int>();
    foreach (string pair in strArr)
    {
        string[] split = pair.Split(',');
        string parent = split[1];
        
        if (!childCounts.ContainsKey(parent))
        {
            childCounts[parent] = 0;
        }
        
        childCounts[parent] = childCounts[parent] + 1;
        if (childCounts[parent] > 2)
        {
            return ""false"";
        }
    }
    
    return ""true"";
            
  }

  static void Main() {  
    // keep this function call here
    Console.WriteLine(TreeConstructor(Console.ReadLine()));
  } 
   
}",9,0,Male,1,2,1,0,0,2,1,0,1,69,'childCounts''childCounts''childCounts''childCounts''childCounts''childCounts''childCounts''childCounts''childCounts'
429,waleedmahmoud,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/waleedmahmoud.jpg,/profile/waleedmahmoud,Tree Constructor,Swift,"import Foundation
func TreeConstructor(_ strArr: [String]) -> String {
        
        let pairsArray = strArr.map { $0.dropFirst().dropLast().components(separatedBy: "","") }
        var hashMapPairs = Dictionary<String, Array<String>>()
        
        for pair in pairsArray {
            hashMapPairs[pair[1], default: [String]()].append(pair[0])
        }
        for (_,value) in hashMapPairs {
            if value.count > 2 {
                return ""false""
            }
        }
        // code goes here
        // Note: feel free to modify the return type of this function
        return ""true""
    }

// keep this function call here   
print(TreeConstructor(readLine(stripNewline: true)));",9,0,Male,3,1,2,0,0,2,2,0,0,72,'pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs''pairsArray''hashMapPairs'
