,User_Name,User_img,User_url,Challange_Name,Programming_Lang,Sol_Code,User_Score,User's_Comments,User_Gender,Name_or_Image,Comments,Conditions,For,While,Func dec,Varibales Dec,Comments length,code length,Variables Names,Num_of_Lines,Lines_ave_len,Vars_ave_len,num_of_cases_uses
10,carlosFeAndrade,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/carlosFeAndrade.jpg,/profile/carlosFeAndrade,Bracket Combinations,JavaScript,"function BracketCombinations(num) { 

    // https://en.wikipedia.org/wiki/Catalan_number
    return (1 / (num + 1)) * choose(2 * num, num);
}

function factorial(num) {
    let sum = 1;
    for (let i = 1; i <= num; i++) {
        sum *= i;
    }
    return sum;
}

function choose(num, k) {
    return factorial(num) / (factorial(k) * factorial(num - k));
}
   
// keep this function call here 
BracketCombinations(readline());",15,0,0,0,430,0,1,0,4,3,8,61," 'let', 'sum' 'sum'",20,0,3,0
11,Zoulfia,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Zoulfia.jpg,/profile/Zoulfia,Bracket Combinations,JavaScript,"function BracketCombinations(num) { 
  var result=ex(2*num)/(ex(num)*ex(num+1));
  return isNaN(result)?1:result;
}
function ex(num) {
    var rtn=num;
    for (let i=num-1; i>0; i--) {
        rtn*=i;
    }
    return rtn;
}
BracketCombinations(readline());",15,0,0,0,259,0,1,0,2,6,0,25," 'var', 'result' 'var', 'rtn' 'for' 'rtn*'",12,0,3,0
12,hangus88,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/hangus88.jpg,/profile/hangus88,Bracket Combinations,JavaScript,"function BracketCombinations(num) { 
    var all = [];
    
    function parens(left, right, str) {
      
      // if no more brackets can be added then add the final balanced string
      if (left === 0 && right === 0) {
        all.push(str);
      }
      
      // if we have a left bracket left we add it
      if (left > 0) {
        parens(left-1, right+1, str+""("");
      }
      
      // if we have a right bracket left we add it
      if (right > 0) {
        parens(left, right-1, str+"")""); 
      }
  
    }
    parens(num, 0, '');
    return all.length;

}
   
// keep this function call here 
BracketCombinations(readline());",15,0,1,1,642,6,0,0,3,2,42,91," 'var', 'all'",28,0,3,0
13,cdms0,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/cdms0.jpg,/profile/cdms0,Bracket Combinations,JavaScript,"function BracketCombinations(num) {

    var calculatePOssibilities = (open, closed) => {
        if (open == 0 && closed == 0)
            return 1;
        var res = 0;
        if (open > 0)
            res += calculatePOssibilities(open - 1, closed);
        if (closed > open)
            res += calculatePOssibilities(open, closed - 1);
        return res;
    } 
  
    // code goes here  
    return calculatePOssibilities(num, num);

}

   
// keep this function call here 
BracketCombinations(readline());",15,0,0,0,515,3,0,0,2,4,10,62," 'var', 'calculatePOssibilities' 'var', 'res'",21,0,7,1
14,beeboop19,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/beeboop19.jpg,/profile/beeboop19,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
  if (num === 0) { return 1; }
  
  return (factorial(2*num)) / (factorial(num+1)*factorial(num));
  
  function factorial(number) {
    for (var i = number-1; i > 0; i--) {
      number *= i;
    }
    return number;
  }
}
   
// keep this function call here 
BracketCombinations(readline());",15,0,0,0,330,1,1,0,3,2,6,43, 'for' 'number',15,0,4,0
15,leot75,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/leot75.jpg,/profile/leot75,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
  let count = 0;
  (function inner(left, right, str) {
      if (left === 0 && right === 0) {
      count++;
    }
    
    if (left > 0) {
      inner(left - 1, right + 1, str + '(');
    }
    
    if (right > 0) {
      inner(left, right - 1, str + ')');
    }
  })(num, 0, '');
  return count;
}
BracketCombinations(readline());",15,0,0,0,369,3,0,0,2,2,0,58," 'let', 'count'",18,0,4,0
16,leonhfr,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/leonhfr.jpg,/profile/leonhfr,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
    let count = 0;
    (function inner (left, right) {
        if (left === 0 && right === 0) { count++; }
        if (left > 0) { inner(left - 1, right + 1); }
        if (right > 0) { inner(left, right - 1); }
    }) (num, 0);
    return count;
}
BracketCombinations(readline());",15,0,0,0,318,3,0,0,2,2,0,52," 'let', 'count'",10,0,4,0
17,cjordanball,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/cjordanball.jpg,/profile/cjordanball,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
    if (!num) {
        return 1;
    }
    var totalLength = num * 2;
    var maxNum = Math.pow(2, totalLength);
    var fullArr = [];
    for (var i = maxNum / 2; i < maxNum; i++) {
        fullArr.push(i.toString(2));
    }
    fullArr = fullArr.filter(function(val) {
        val = val.replace(/1/g, '(')
            .replace(/0/g, ')')
        var valArr = val.split('');
        return evaluator(valArr);

    });
    return fullArr.length;

}
//evaluator takes an array of '(' and ')' and determines whether they could be a
//bracket sequence, where
function evaluator(arr) {
    var count = 0;
    var ind = 0;
    var len = arr.length;

    while (ind < len) {
        if (arr[ind] === '(') {
            count++;
        } else {
            count--;
        }
        if (count < 0) {
            return false;
        }
        ind++
    }
    return !count ? true : false;
}


   
// keep this function call here 
BracketCombinations(readline());",15,0,0,0,996,4,1,1,4,17,24,131," 'var', 'totalLength' 'var', 'maxNum' 'var', 'fullArr' 'for' 'fullArr' 'val' 'var', 'valArr' 'var', 'count' 'var', 'ind' 'var', 'len'",45,0,4,5
18,VernonQuan,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/VernonQuan.jpg,/profile/VernonQuan,Bracket Combinations,JavaScript,"function BracketCombinations(num) { 

  const addParens = (left, right) => {
    let total = 0;
    if (left === 0 && right === 0) {
      return 1;
    }
    if (left > 0) {
      total += addParens(left - 1, right);
    }
    if (right > left) {
      total += addParens(left, right - 1);
    }
    return total;
  };

  return addParens(num, num); 

}
   
// keep this function call here 
console.log(BracketCombinations(readline()));",15,-1,0,0,438,3,0,0,2,3,6,64," 'const' 'let', 'total'",22,0,4,0
19,reham2020,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/reham2020.jpg,/profile/reham2020,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
  // first i will calculate the factorial of the num
  let factorial = (n) => {
    let k = 1;
    for(var i = n; i >= 1; i--){
      k *= i;
    }
    return k;
  }
  
  // formula going down
  const result = (factorial(2 * num)) / ((factorial(num + 1)) * (factorial(num)));
  return result; 
}
   
// keep this function call here 
console.log(BracketCombinations(readline()));",15,-1,0,0,415,0,2,0,2,6,20,64," 'let', 'factorial' 'let', 'k' 'k' 'const'",17,0,3,0
20,DaveBealey,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/DaveBealey.jpg,/profile/DaveBealey,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
  if (!num) return 1
  let solutions = [];

  let length = num * 2
  let combinationsLength = Math.pow(2, length)
  let arrayOfCombinations = []
  for (let i = combinationsLength / 2; i < combinationsLength; i++) {
    arrayOfCombinations.push(i.toString(2))
  }
  arrayOfCombinations.forEach(num => {
    let result = []
    for (let i = 0; i < num.length; i++) {
      if (num[i] === '1') result.push('(')
      else result.push(')')
    }
    check(result)
  })

  function check(state) {
    let copy = state.slice()
    let deleteCheck = true;
    while (deleteCheck) {
      deleteCheck = false;
      for (let i = 1; i < copy.length; i++) {
        if (copy[i] === ')' && copy[i - 1] === '(') {
          copy.splice(i - 1, 2)
          deleteCheck = true
        }
      }
    }
    if (copy.length === 0) {
      solutions.push(state.join(''))
    }
  }
  return solutions.length
}

// keep this function call here 
console.log(BracketCombinations(readline()));",12,-1,0,0,1007,5,4,1,3,20,6,133," 'let', 'solutions' 'let', 'length' 'let', 'combinationsLength' 'let', 'arrayOfCombinations' 'for' 'arrayOfCombinations.forEach(num' 'let', 'result' 'for' 'let', 'copy' 'let', 'deleteCheck' 'deleteCheck' 'for' 'deleteCheck'",40,0,7,7
21,iwonap,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/iwonap.jpg,/profile/iwonap,Bracket Combinations,JavaScript,"function BracketCombinations(num) {

    function calculatePOssibilities (open, closed) {
        if (open === 0 && closed === 0)
            return 1;
        var res = 0;
        if (open > 0)
            res += calculatePOssibilities(open - 1, closed);
        if (closed > open)
            res += calculatePOssibilities(open, closed - 1);
        return res;
    }
    // code goes here  
    return calculatePOssibilities(num, num);
}

   
// keep this function call here 
BracketCombinations(readline());",15,-1,1,0,512,3,0,0,3,2,10,60," 'var', 'res'",19,0,3,0
22,alban71,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/alban71.jpg,/profile/alban71,Bracket Combinations,JavaScript,"function BracketCombinations(num) { 

  const ns= [0,1,2];
  for (let i = 3; i <= num; i++) {
    let sum = ns[i-1] * 2; // () times i-1 combinations, i-1 times ()
    //console.log(sum);
    for (let j = 1; j < i-1; j++) {
      //console.log(j);
      sum += ns[j] * ns[i - j - 1];
    }
    ns.push(sum);
  }
  return ns[num];

}
   
// keep this function call here 
console.log(BracketCombinations(readline()));",13,-2,0,0,416,0,2,0,2,4,22,64," 'const' 'let', 'sum' 'for'",18,0,3,0
23,hameda169,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/hameda169.jpg,/profile/hameda169,Bracket Combinations,C,"const r1:Record<string, number[][]> = {};

function f(n:number, m: number): number[][] {
  if (n < m) return [];
  if (n === m) return [[...Array(n)].map(() => 1)];
  if (m === 1) return [[n]];
  if (r1[`${n},${m}`]) return r1[`${n},${m}`];
  let result: number[][] = [];
  for (let i = 1; i <= n - m + 1; i++) {
    result = [...result, ...f(n - i, m - 1).map(x => [i, ...x])];
  }
  r1[`${n},${m}`] = result;
  return result;
}

const resource:Record<number, number> = {};

function BracketCombinations(num: number) {
  if (num === 0) return 1;
  if ([1, 2].indexOf(num) !== -1) {
    return num;
  }
  if (resource[num]) {
    return resource[num];
  }

  let myArray:number[][] = [];
  for (let i = 1; i <= num; i++) {
    myArray = [...myArray, ...f(num, i)];
  }
  let answer = 0;
  myArray.forEach(array => {
    answer += array.reduce((p, c) => p * BracketCombinations(c > 1 ? c - 1 : c), 1);
  });

  resource[num] = answer;
  return answer;
}
   
// keep this function call here 
// @ts-ignore
console.log(BracketCombinations(readline()));",9,0,0,0,1050,7,3,0,9,0,8,163,,42,0,0,0
24,rlishtaba,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/rlishtaba.jpg,/profile/rlishtaba,Bracket Combinations,Python,"def BracketCombinations(num): 
    def gen_catalan_seq(num): 
        xs = []
        n = 0
        c = 1
        for i in range(0, num + 1):
            xs.append(c)
            n += 1
            c = c * 2 * (2 * n - 1) // (n + 1)
        return xs
    # quiz totally satisfied by Catalan sequence
    return gen_catalan_seq(num)[num]
        
    
# keep this function call here  
print BracketCombinations(raw_input())",15,1,0,0,2,0,1,0,2,4,13,58, 'xs' 'n' 'c' 'c',16,0,1,0
25,mrtedjeong,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/mrtedjeong.jpg,/profile/mrtedjeong,Bracket Combinations,Python,"def BracketCombinations(num): 
    global num_sanity 
    num_sanity = 0
    depth = 2*num
    
    def dfs(pnode):
        node = pnode[:]
        global num_sanity
    
        if sum(node) == 0 and len(node) == depth:
            num_sanity += 1
            return -1
    
        if sum(node) < 0 or sum(node) > (depth/2) or len(node) >= depth:
            return -1
        
        # left move
        node += [1]
        flag = dfs(node)
    
        if flag == -1:
            node = pnode[:]
    
        # right move
        node += [-1]
        flag = dfs(node)
        return flag
        
    dfs([])
    
    return num_sanity
print BracketCombinations(raw_input())",15,1,0,0,2,3,0,0,2,6,6,76, 'num_sanity' 'depth' 'node' 'flag' 'node' 'flag',32,0,4,0
26,Ryantimjohn,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Ryantimjohn.jpg,/profile/Ryantimjohn,Bracket Combinations,Python,"def factorial(n):
    total = 1
    for i in range(1, n+1):
        total *= i
    return total
def BracketCombinations(n): 
    return factorial(2 * n)/(factorial(n + 1)*factorial(n))
print BracketCombinations(raw_input())",15,0,0,0,0,0,1,0,2,2,0,25, 'total' 'total',8,0,5,0
27,lesian,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/lesian.jpg,/profile/lesian,Bracket Combinations,Python,"def BracketCombinations(num): 
    def bracket_checker(seq):
        opening = 0
        closing = 0
        
        for br in seq:
            if br == ""("":
                opening += 1
            if br == "")"":
                if opening == 0:
                    return False
                else:
                    opening -= 1
        return True if opening == 0 else False
        
    brackets = []
    last = ['(']
    if num == 0:
        return 1
    for _ in range(2*num-1):
        nxt = []
        for br in last:
            nxt.append(br + '(')
            nxt.append(br + ')')
        last = nxt
    return sum([1 if bracket_checker(br) else 0 for br in last])        
    
# keep this function call here  
print BracketCombinations(raw_input())",15,0,1,0,1,10,4,0,2,6,6,93, 'opening' 'closing' 'brackets' 'last' 'nxt' 'last',29,0,5,0
28,bneeriemer,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/bneeriemer.jpg,/profile/bneeriemer,Bracket Combinations,Python,"def fact(n):
    result = 1
    for x in range(1, n+1):
        result *= x
    return result
def BracketCombinations(num): 

    # code goes here 
    return fact(2 * num)/(fact(num + 1)*fact(num))

# keep this function call here  
print BracketCombinations(raw_input())",15,0,0,0,2,0,1,0,2,2,10,35, 'result' 'result',12,0,6,0
29,Corinto,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Corinto.jpg,/profile/Corinto,Bracket Combinations,Python,"def BracketCombinations(num): 

    catalan = [1,1]
    for i in xrange(2, num + 1):
        c = 0
        for j in xrange(len(catalan)):
            c += catalan[j]*catalan[len(catalan) -1 - j]
        catalan.append(c)
    
    return catalan[num]
    
# keep this function call here  
print BracketCombinations(raw_input())",15,0,0,0,1,0,2,0,1,2,6,36, 'catalan' 'c',13,0,4,0
30,Sabin,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Sabin.jpg,/profile/Sabin,Bracket Combinations,Python,"def bc(numb, openb, closeb):
  if (closeb==numb): return 1
  cnt = 0
  if (openb<numb):   cnt += bc(numb, openb+1, closeb)
  if (closeb<openb): cnt += bc(numb, openb, closeb+1)
  return cnt

def BracketCombinations(num): 
  return bc(num,0,0)
    
# keep this function call here  
print BracketCombinations(raw_input())",15,0,0,0,1,3,0,0,2,1,6,39, 'cnt',12,0,3,0
31,Qlogin,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Qlogin.jpg,/profile/Qlogin,Bracket Combinations,Python,"def BracketCombinations(num): 
  arr = [1]
  for i in xrange(1, num):
      for j in xrange(1, i):
          arr[j] += arr[j-1]
      arr.append(arr[-1])
  return sum(arr)
          
    
# keep this function call here  
print BracketCombinations(raw_input())",15,0,0,0,1,0,2,0,1,1,6,29, 'arr',11,0,3,0
32,kjkang11,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/kjkang11.jpg,/profile/kjkang11,Bracket Combinations,Python,"def add_paren(pair, paren='', parens=[]):
    if len(paren) == (pair * 2):
        parens.append(paren)
        return parens

    paren_to_add = []
    left, right = paren.count('('), paren.count(')')
    if pair > left:
        paren_to_add.append('(')
    if pair > right and left > right:
        paren_to_add.append(')')

    for bracket in paren_to_add:
        add_paren(pair, paren+bracket, parens)
    
    return parens

def BracketCombinations(num):
    return len(add_paren(num))
    
# keep this function call here  
print BracketCombinations(raw_input())",15,-1,0,0,1,3,1,0,2,3,6,56," 'def' 'paren_to_add' 'left,'",22,0,3,0
33,ricky0309,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/ricky0309.jpg,/profile/ricky0309,Bracket Combinations,Python,"from itertools import product

def BracketCombinations(num): 

  # code goes here 
  # Note: don't forget to properly indent in Python
  bracketCombinationList = list(product([""("","")""], repeat=2*num))
  # Prune for invalid bracket
  tempList = []
  for bracketCombination in bracketCombinationList:
    bracketCombinationValid = True
    leftIndexList = []
    rightIndexList = []
    for index in range(len(bracketCombination)):
      if bracketCombination[index] == ""("":
        leftIndexList.append(index)
      else:
        rightIndexList.append(index)
    if len(leftIndexList) == len(rightIndexList):
      for index2 in range(len(leftIndexList)):
        if leftIndexList[index2] > rightIndexList[index2]:
          bracketCombinationValid = False
          break
      if bracketCombinationValid:
        tempList.append(bracketCombination)
  bracketCombinationList = list(tempList)
  
  return len(bracketCombinationList)   
    
# keep this function call here  
print BracketCombinations(raw_input())",15,-1,0,0,4,6,5,0,1,7,24,87, 'bracketCombinationList' 'tempList' 'bracketCombinationValid' 'leftIndexList' 'rightIndexList' 'bracketCombinationValid' 'bracketCombinationList',31,0,17,7
34,rolixer,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/rolixer.jpg,/profile/rolixer,Bracket Combinations,PHP,"<?php 


function BracketCombinations($num) {

  $sum = 1;
  for ($k = 2; $k <= $num; $k++)
   $sum *= ($num + $k) / $k;

   return $sum;

}
   
// keep this function call here  
echo BracketCombinations(fgets(fopen('php://stdin', 'r')));  

?>",15,0,1,0,245,0,1,0,2,2,9,35, '$sum' '$sum',17,0,3,0
35,Duldris,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Duldris.jpg,/profile/Duldris,Bracket Combinations,PHP,"<?php 

function BracketCombinations($num) {

  // code goes here
  if($num<2){
    return 1;
  }
  //var_dump($num);
  $result = 0;
  for($i=0;$i<$num;$i++){
    $result+= BracketCombinations($i) * BracketCombinations($num-$i-1);
  }
  


  return $result;

}
   
// keep this function call here  
echo BracketCombinations(fgets(fopen('php://stdin', 'r')));  

?>",15,0,0,0,365,1,1,0,2,1,14,35, '$result',24,0,6,0
36,Olfat,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Olfat.jpg,/profile/Olfat,Bracket Combinations,PHP,"<?php 

function BracketCombinations($num) {

   if($num<2){
      return 1;
    }
    $result = 0;
    for($i=0;$i<$num;$i++)
      $result=$result+BracketCombinations($i) * BracketCombinations($num-$i-1);
    return $result;
  

}
   
// keep this function call here  
echo BracketCombinations(fgets(fopen('php://stdin', 'r')));  

?>",15,0,0,0,337,1,1,0,2,1,9,28, '$result',19,0,6,0
